0
0,145.2
1,140.112
2,135.72
3,130.732
4,127.236
5,124.744
6,121.748
7,118.856
8,116.06
9,112.768
10,110.772
11,108.776
12,106.78
13,105.084
14,103.784
15,102.588
16,99.296
17,97.8
18,95.304
19,93.808
20,93.208
21,91.212
22,89.816
23,89.116
24,74.148
25,74.348
26,74.844
27,75.044
28,75.844
29,77.84
30,79.836
31,80.832
32,82.528
33,81.832
34,82.828
35,85.424
36,89.616
37,92.108
38,96.7
39,100.992
40,103.984
41,108.476
42,113.664
43,118.456
44,122.948
45,125.14
46,131.628
47,134.82
48,137.316
49,138.612
50,140.212
51,138.712
52,136.816
53,136.52
54,133.924
55,135.42
56,139.912
57,140.412
58,138.316
59,137.716
60,140.312
61,138.516
62,139.412
63,139.612
64,138.116
65,142.008
66,150.588
67,157.476
68,162.264
69,166.156
70,168.652
71,170.348
72,172.644
73,173.344
74,172.244
75,172.744
76,172.144
77,169.748
78,166.556
79,164.56
80,161.568
81,156.176
82,150.788
83,148.792
84,144.8
85,141.708
86,138.216
87,136.52
88,169.848
89,166.856
90,161.568
91,155.68
92,154.084
93,147.896
94,141.108
95,132.128
